yyyy/mm/dd, hh:mm:ss, timeElapsed, TPM1, TPM2.5, TPM10, PM1, PM2.5, PM10, CO2, TempC, Humidity, NO, NO2, O3, CO2raw, workNO2, auxNO2, workO3, auxO3, labNO, labNO2, labO3, labCO2, labTPM25, labPM25
2016/7/5, 18:39:12, 9703, 0, 1, 1, 0, 1, 1, 479.20, 25.96, 60.02, -18.50, -1331.72, 385.07, 245.11, 181.23, 205.08, 233.89, 209.62, -18.50, -1331.72, 385.07, 479.20, 1.00, 1.00
2016/7/5, 18:40:12, 9764, 0, 0, 1, 0, 0, 1, 485.59, 25.95, 60.04, -33.48, -1354.93, 549.20, 248.38, 184.17, 207.87, 234.51, 202.19, -33.48, -1354.93, 549.20, 485.59, 0.00, 0.00
2016/7/5, 18:41:13, 9824, 0, 0, 1, 0, 0, 1, 474.63, 25.95, 60.06, -63.82, -1480.44, 666.99, 242.77, 167.47, 204.85, 228.85, 197.75, -63.82, -1480.44, 666.99, 474.63, 0.00, 0.00
2016/7/5, 18:42:13, 9885, 0, 0, 1, 0, 0, 1, 469.02, 25.94, 60.07, -52.48, -1347.74, 572.33, 239.91, 170.42, 199.87, 248.92, 207.92, -52.48, -1347.74, 572.33, 469.02, 0.00, 0.00
2016/7/5, 18:43:14, 9945, 0, 0, 0, 0, 0, 0, 461.79, 25.94, 60.07, 2.72, -1405.81, 675.38, 236.21, 177.57, 206.74, 236.09, 198.23, 2.72, -1405.81, 675.38, 461.79, 0.00, 0.00
2016/7/5, 18:44:14, 10006, 0, 0, 0, 0, 0, 0, 476.33, 25.93, 60.09, 3.00, -1321.13, 544.29, 243.64, 178.85, 203.23, 226.38, 197.15, 3.00, -1321.13, 544.29, 476.33, 0.00, 0.00
2016/7/5, 18:45:15, 10067, 0, 0, 0, 0, 0, 0, 477.77, 25.91, 60.12, -81.83, -1335.72, 506.47, 244.38, 178.49, 203.75, 232.87, 202.91, -81.83, -1335.72, 506.47, 477.77, 0.00, 0.00
2016/7/5, 18:46:17, 10128, 0, 0, 0, 0, 0, 0, 464.97, 25.90, 60.15, -58.18, -1225.86, 537.99, 237.83, 185.57, 202.21, 236.72, 199.19, -58.18, -1225.86, 537.99, 464.97, 0.00, 0.00
2016/7/5, 18:47:17, 10189, 0, 0, 0, 0, 0, 0, 469.58, 25.90, 60.16, -76.33, -1391.97, 455.21, 240.19, 167.40, 200.40, 228.51, 205.45, -76.33, -1391.97, 455.21, 469.58, 0.00, 0.00
2016/7/5, 18:48:17, 10249, 0, 0, 0, 0, 0, 0, 469.17, 25.89, 60.18, -80.18, -1409.80, 502.02, 239.98, 171.26, 203.43, 236.53, 207.66, -80.18, -1409.80, 502.02, 469.17, 0.00, 0.00
2016/7/5, 18:49:18, 10310, 0, 1, 1, 0, 1, 1, 462.85, 25.88, 60.20, -84.51, -1204.34, 591.47, 236.75, 181.48, 198.87, 230.85, 192.67, -84.51, -1204.34, 591.47, 462.85, 1.00, 1.00
2016/7/5, 18:50:19, 10371, 0, 0, 1, 0, 0, 1, 474.82, 25.88, 60.21, -75.18, -1445.37, 500.04, 242.87, 169.57, 204.26, 237.25, 209.42, -75.18, -1445.37, 500.04, 474.82, 0.00, 0.00
2016/7/5, 18:51:20, 10431, 0, 0, 0, 0, 0, 0, 477.51, 25.87, 60.21, -45.78, -1239.39, 549.92, 244.25, 181.57, 200.66, 231.55, 196.47, -45.78, -1239.39, 549.92, 477.51, 0.00, 0.00
2016/7/5, 18:52:20, 10492, 0, 0, 0, 0, 0, 0, 462.68, 25.86, 60.22, -107.32, -1301.07, 526.58, 236.66, 172.23, 198.55, 212.77, 190.55, -107.32, -1301.07, 526.58, 462.68, 0.00, 0.00
2016/7/5, 18:53:21, 10552, 0, 1, 1, 0, 1, 1, 472.79, 25.85, 60.25, -23.02, -1294.98, 703.89, 241.83, 163.60, 193.45, 235.40, 192.36, -23.02, -1294.98, 703.89, 472.79, 1.00, 1.00
2016/7/5, 18:54:21, 10613, 0, 1, 1, 0, 1, 1, 462.16, 25.85, 60.26, -114.89, -1329.45, 714.49, 236.40, 174.77, 201.38, 232.60, 191.66, -114.89, -1329.45, 714.49, 462.16, 1.00, 1.00
2016/7/5, 18:55:22, 10673, 0, 0, 0, 0, 0, 0, 465.41, 25.84, 60.28, -73.90, -1233.26, 630.93, 238.06, 175.87, 197.19, 228.32, 190.40, -73.90, -1233.26, 630.93, 465.41, 0.00, 0.00
2016/7/5, 18:56:22, 10734, 0, 0, 0, 0, 0, 0, 473.60, 25.83, 60.29, 15.90, -1250.16, 519.71, 242.25, 177.17, 198.75, 230.28, 197.81, 15.90, -1250.16, 519.71, 473.60, 0.00, 0.00
2016/7/5, 18:57:23, 10794, 0, 0, 1, 0, 0, 1, 472.38, 25.82, 60.31, 41.92, -1455.04, 657.11, 241.62, 178.38, 209.64, 238.64, 202.25, 41.92, -1455.04, 657.11, 472.38, 0.00, 0.00
2016/7/5, 18:58:23, 10855, 0, 0, 0, 0, 0, 0, 479.17, 25.82, 60.32, -4.62, -1204.45, 634.73, 245.09, 182.53, 199.45, 234.62, 192.30, -4.62, -1204.45, 634.73, 479.17, 0.00, 0.00
2016/7/5, 18:59:24, 10915, 0, 0, 0, 0, 0, 0, 471.79, 25.82, 60.34, -58.78, -1364.35, 666.25, 241.32, 169.94, 200.43, 230.38, 194.34, -58.78, -1364.35, 666.25, 471.79, 0.00, 0.00
2016/7/5, 19:0:24, 10976, 0, 0, 0, 0, 0, 0, 473.41, 25.81, 60.35, 7.32, -1082.90, 410.79, 242.15, 174.79, 189.09, 231.98, 198.28, 7.32, -1082.90, 410.79, 473.41, 0.00, 0.00
2016/7/5, 19:1:25, 11037, 0, 0, 0, 0, 0, 0, 467.59, 25.80, 60.36, -78.89, -1423.30, 488.32, 239.17, 171.04, 203.98, 229.17, 205.19, -78.89, -1423.30, 488.32, 467.59, 0.00, 0.00
2016/7/5, 19:2:26, 11097, 0, 0, 0, 0, 0, 0, 478.39, 25.80, 60.37, -114.89, -1278.29, 595.67, 244.70, 170.77, 196.60, 224.11, 191.77, -114.89, -1278.29, 595.67, 478.39, 0.00, 0.00
2016/7/5, 19:3:26, 11158, 0, 0, 0, 0, 0, 0, 463.23, 25.79, 60.38, 3.47, -1298.00, 601.43, 236.94, 170.57, 197.47, 229.32, 194.79, 3.47, -1298.00, 601.43, 463.23, 0.00, 0.00
2016/7/5, 19:4:27, 11218, 0, 0, 0, 0, 0, 0, 455.41, 25.78, 60.41, -42.54, -1266.26, 646.09, 232.94, 169.34, 195.21, 233.02, 193.15, -42.54, -1266.26, 646.09, 455.41, 0.00, 0.00
2016/7/5, 19:5:27, 11279, 0, 0, 0, 0, 0, 0, 476.03, 25.76, 60.42, -105.50, -1359.68, 670.76, 243.49, 179.74, 205.64, 230.02, 193.75, -105.50, -1359.68, 670.76, 476.03, 0.00, 0.00
2016/7/5, 19:6:27, 11339, 0, 0, 1, 0, 0, 1, 468.44, 25.75, 60.44, -60.19, -1530.53, 671.55, 239.61, 171.65, 209.67, 228.37, 199.10, -60.19, -1530.53, 671.55, 468.44, 0.00, 0.00
2016/7/5, 19:7:28, 11400, 0, 0, 0, 0, 0, 0, 468.88, 25.74, 60.45, -106.29, -1218.20, 618.49, 239.83, 174.60, 195.74, 227.36, 190.02, -106.29, -1218.20, 618.49, 468.88, 0.00, 0.00
2016/7/5, 19:8:29, 11460, 0, 0, 0, 0, 0, 0, 456.59, 25.74, 60.44, -113.03, -1221.53, 502.54, 233.55, 173.83, 195.47, 233.36, 199.21, -113.03, -1221.53, 502.54, 456.59, 0.00, 0.00
2016/7/5, 19:9:29, 11521, 0, 0, 0, 0, 0, 0, 471.86, 25.74, 60.44, -118.07, -1335.30, 542.96, 241.36, 174.28, 201.40, 234.42, 201.75, -118.07, -1335.30, 542.96, 471.86, 0.00, 0.00
