Box01_37_03_04...New Logging Session...2016/6/21, 16:16:57, 
yyyy/mm/dd, hh:mm:ss, timeElapsed, TPM1, TPM2.5, TPM10, PM1, PM2.5, PM10, CO2, TempC, Humidity, NO, NO2, O3, CO2raw, workNO2, auxNO2, workO3, auxO3, labNO, labNO2, labO3, labCO2, labTPM25, labPM25
2016/6/21, 16:42:10, 1514, 12, 15, 16, 12, 15, 16, 748.02, 21.76, 61.92, 0.00, -7.81, 64.01, 382.61, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 748.02, 15.00, 15.00
2016/6/21, 16:43:10, 1575, 11, 14, 15, 11, 14, 15, 751.46, 21.76, 62.00, 0.00, -7.81, 64.01, 384.37, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 751.46, 14.00, 14.00
2016/6/21, 16:44:11, 1635, 9, 12, 14, 9, 12, 14, 751.82, 21.75, 62.06, 0.00, -7.81, 64.01, 384.56, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 751.82, 12.00, 12.00
2016/6/21, 16:45:11, 1696, 10, 13, 14, 10, 13, 14, 746.71, 21.77, 62.02, 0.00, -7.81, 64.01, 381.94, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 746.71, 13.00, 13.00
2016/6/21, 16:46:12, 1756, 10, 13, 15, 10, 13, 15, 745.88, 21.77, 61.89, 0.00, -7.81, 64.01, 381.52, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 745.88, 13.00, 13.00
2016/6/21, 16:47:12, 1817, 11, 14, 17, 11, 14, 17, 744.43, 21.78, 61.84, 0.00, -7.81, 64.01, 380.78, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 744.43, 14.00, 14.00
2016/6/21, 16:48:13, 1877, 9, 13, 13, 9, 13, 13, 753.56, 21.77, 61.60, 0.00, -7.81, 64.01, 385.44, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 753.56, 13.00, 13.00
2016/6/21, 16:49:13, 1938, 10, 14, 15, 10, 14, 15, 744.51, 21.75, 61.69, 0.00, -7.81, 64.01, 380.81, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 744.51, 14.00, 14.00
2016/6/21, 16:50:14, 1998, 11, 15, 18, 11, 15, 18, 752.62, 21.72, 61.82, 0.00, -7.81, 64.01, 384.96, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 752.62, 15.00, 15.00
2016/6/21, 16:51:14, 2058, 9, 12, 12, 9, 12, 12, 748.70, 21.70, 61.94, 0.00, -7.81, 64.01, 382.96, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 748.70, 12.00, 12.00
2016/6/21, 16:52:14, 2118, 9, 13, 14, 9, 13, 14, 732.40, 21.70, 61.95, 0.00, -7.81, 64.01, 374.62, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 732.40, 13.00, 13.00
2016/6/21, 16:53:14, 2179, 10, 14, 14, 10, 14, 14, 746.28, 21.71, 61.91, 0.00, -7.81, 64.01, 381.72, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 746.28, 14.00, 14.00
2016/6/21, 16:54:15, 2240, 11, 14, 16, 11, 14, 16, 744.14, 21.74, 61.73, 0.00, -7.81, 64.01, 380.63, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 744.14, 14.00, 14.00
2016/6/21, 16:55:15, 2300, 11, 14, 14, 11, 14, 14, 739.94, 21.72, 61.78, 0.00, -7.81, 64.01, 378.48, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 739.94, 14.00, 14.00
2016/6/21, 16:56:16, 2361, 10, 14, 15, 10, 14, 15, 748.92, 21.68, 61.84, 0.00, -7.81, 64.01, 383.07, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 748.92, 14.00, 14.00
2016/6/21, 16:57:17, 2421, 9, 13, 14, 9, 13, 14, 741.14, 21.71, 61.87, 0.00, -7.81, 64.01, 379.09, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 741.14, 13.00, 13.00
2016/6/21, 16:58:17, 2482, 10, 14, 16, 10, 14, 16, 745.27, 21.75, 61.63, 0.00, -7.81, 64.01, 381.20, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 745.27, 14.00, 14.00
2016/6/21, 16:59:18, 2542, 9, 12, 14, 9, 12, 14, 736.90, 21.74, 61.61, 0.00, -7.81, 64.01, 376.93, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 736.90, 12.00, 12.00
2016/6/21, 17:0:18, 2603, 9, 12, 13, 9, 12, 13, 737.45, 21.69, 61.84, 0.00, -7.81, 64.01, 377.20, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 737.45, 12.00, 12.00
2016/6/21, 17:1:19, 2663, 10, 13, 15, 10, 13, 15, 738.89, 21.71, 61.76, 0.00, -7.81, 64.01, 377.94, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 738.89, 13.00, 13.00
2016/6/21, 17:2:19, 2724, 11, 14, 18, 11, 14, 18, 749.14, 21.72, 61.68, 0.00, -7.81, 64.01, 383.19, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 749.14, 14.00, 14.00
2016/6/21, 17:3:20, 2784, 10, 13, 14, 10, 13, 14, 749.07, 21.69, 61.24, 0.00, -7.81, 64.01, 383.15, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 749.07, 13.00, 13.00
2016/6/21, 17:4:20, 2845, 9, 13, 14, 9, 13, 14, 749.25, 21.65, 61.76, 0.00, -7.81, 64.01, 383.24, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 749.25, 13.00, 13.00
2016/6/21, 17:5:21, 2905, 11, 14, 15, 11, 14, 15, 746.28, 21.61, 62.28, 0.00, -7.81, 64.01, 381.72, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 746.28, 14.00, 14.00
2016/6/21, 17:6:21, 2966, 10, 14, 16, 10, 14, 16, 743.82, 21.55, 62.55, 0.00, -7.81, 64.01, 380.46, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 743.82, 14.00, 14.00
2016/6/21, 17:7:22, 3026, 11, 13, 15, 11, 13, 15, 746.10, 21.48, 62.59, 0.00, -7.81, 64.01, 381.63, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 746.10, 13.00, 13.00
2016/6/21, 17:8:22, 3087, 10, 13, 15, 10, 13, 15, 739.62, 21.24, 62.24, 0.00, -7.81, 64.01, 378.31, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 739.62, 13.00, 13.00
2016/6/21, 17:9:23, 3148, 10, 12, 13, 10, 12, 13, 735.74, 21.13, 61.81, 0.00, -7.81, 64.01, 376.33, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 735.74, 12.00, 12.00
2016/6/21, 17:10:24, 3208, 9, 12, 14, 9, 12, 14, 724.99, 21.23, 62.24, 0.00, -7.81, 64.01, 370.83, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 724.99, 12.00, 12.00
2016/6/21, 17:11:24, 3269, 9, 13, 14, 9, 13, 14, 737.99, 21.39, 62.10, 0.00, -7.81, 64.01, 377.48, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 737.99, 13.00, 13.00
2016/6/21, 17:12:25, 3329, 10, 13, 14, 10, 13, 14, 717.39, 21.43, 62.14, 0.00, -7.81, 64.01, 366.94, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 717.39, 13.00, 13.00
2016/6/21, 17:13:25, 3390, 9, 13, 13, 9, 13, 13, 739.91, 21.49, 62.12, 0.00, -7.81, 64.01, 378.46, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 739.91, 13.00, 13.00
2016/6/21, 17:14:26, 3450, 10, 14, 15, 10, 14, 15, 725.97, 21.49, 62.22, 0.00, -7.81, 64.01, 371.33, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 725.97, 14.00, 14.00
2016/6/21, 17:15:26, 3511, 11, 14, 16, 11, 14, 16, 725.90, 21.48, 62.38, 0.00, -7.81, 64.01, 371.30, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 725.90, 14.00, 14.00
2016/6/21, 17:16:27, 3571, 9, 13, 14, 9, 13, 14, 715.14, 21.55, 62.26, 0.00, -7.81, 64.01, 365.80, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 715.14, 13.00, 13.00
2016/6/21, 17:17:27, 3632, 10, 13, 14, 10, 13, 14, 718.91, 21.88, 61.15, 0.00, -7.81, 64.01, 367.72, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 718.91, 13.00, 13.00
2016/6/21, 17:18:27, 3692, 9, 13, 14, 9, 13, 14, 728.38, 22.14, 60.07, 0.00, -7.81, 64.01, 372.57, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 728.38, 13.00, 13.00
2016/6/21, 17:19:28, 3752, 12, 14, 15, 12, 14, 15, 714.35, 22.08, 60.33, 0.00, -7.81, 64.01, 365.39, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 714.35, 14.00, 14.00
2016/6/21, 17:20:28, 3813, 10, 14, 14, 10, 14, 14, 708.77, 21.81, 61.32, 0.00, -7.81, 64.01, 362.54, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 708.77, 14.00, 14.00
2016/6/21, 17:21:29, 3873, 11, 14, 15, 11, 14, 15, 695.23, 21.67, 61.85, 0.00, -7.81, 64.01, 355.61, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 695.23, 14.00, 14.00
2016/6/21, 17:22:29, 3934, 11, 15, 16, 11, 15, 16, 699.54, 21.62, 62.11, 0.00, -7.81, 64.01, 357.81, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 699.54, 15.00, 15.00
2016/6/21, 17:23:30, 3995, 11, 14, 15, 11, 14, 15, 721.01, 21.56, 62.27, 0.00, -7.81, 64.01, 368.80, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 721.01, 14.00, 14.00
2016/6/21, 17:24:30, 4055, 11, 14, 15, 11, 14, 15, 708.61, 21.51, 62.40, 0.00, -7.81, 64.01, 362.45, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 708.61, 14.00, 14.00
2016/6/21, 17:25:31, 4115, 10, 14, 15, 10, 14, 15, 713.73, 21.49, 62.46, 0.00, -7.81, 64.01, 365.07, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 713.73, 14.00, 14.00
2016/6/21, 17:26:31, 4176, 9, 13, 14, 9, 13, 14, 691.36, 21.49, 62.44, 0.00, -7.81, 64.01, 353.63, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 691.36, 13.00, 13.00
2016/6/21, 17:27:32, 4236, 10, 13, 14, 10, 13, 14, 709.28, 21.47, 62.42, 0.00, -7.81, 64.01, 362.80, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 709.28, 13.00, 13.00
2016/6/21, 17:28:32, 4297, 10, 14, 14, 10, 14, 14, 713.77, 21.46, 62.34, 0.00, -7.81, 64.01, 365.09, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 713.77, 14.00, 14.00
2016/6/21, 17:29:33, 4357, 10, 14, 14, 10, 14, 14, 721.41, 21.46, 61.92, 0.00, -7.81, 64.01, 369.00, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 721.41, 14.00, 14.00
2016/6/21, 17:30:33, 4417, 10, 13, 14, 10, 13, 14, 734.13, 21.43, 61.82, 0.00, -7.81, 64.01, 375.51, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 734.13, 13.00, 13.00
2016/6/21, 17:31:33, 4477, 10, 13, 13, 10, 13, 13, 724.51, 21.42, 61.60, 0.00, -7.81, 64.01, 370.58, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 724.51, 13.00, 13.00
2016/6/21, 17:32:33, 4537, 10, 13, 14, 10, 13, 14, 725.47, 21.41, 61.25, 0.00, -7.81, 64.01, 371.08, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 725.47, 13.00, 13.00
2016/6/21, 17:33:33, 4597, 10, 14, 15, 10, 14, 15, 737.93, 21.45, 61.06, 0.00, -7.81, 64.01, 377.45, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 737.93, 14.00, 14.00
2016/6/21, 17:34:33, 4658, 10, 14, 14, 10, 14, 14, 737.70, 21.41, 61.45, 0.00, -7.81, 64.01, 377.33, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 737.70, 14.00, 14.00
2016/6/21, 17:35:34, 4718, 11, 14, 15, 11, 14, 15, 731.44, 21.38, 61.79, 0.00, -7.81, 64.01, 374.13, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 731.44, 14.00, 14.00
2016/6/21, 17:36:34, 4779, 10, 13, 14, 10, 13, 14, 739.29, 21.37, 61.96, 0.00, -7.81, 64.01, 378.15, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 739.29, 13.00, 13.00
2016/6/21, 17:37:35, 4839, 10, 13, 15, 10, 13, 15, 732.88, 21.35, 62.09, 0.00, -7.81, 64.01, 374.87, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 732.88, 13.00, 13.00
2016/6/21, 17:38:35, 4900, 10, 13, 15, 10, 13, 15, 715.33, 21.34, 62.20, 0.00, -7.81, 64.01, 365.89, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 715.33, 13.00, 13.00
2016/6/21, 17:39:36, 4960, 9, 13, 16, 9, 13, 16, 729.01, 21.34, 62.20, 0.00, -7.81, 64.01, 372.89, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 729.01, 13.00, 13.00
2016/6/21, 17:40:36, 5021, 10, 13, 14, 10, 13, 14, 721.77, 21.35, 62.22, 0.00, -7.81, 64.01, 369.19, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 721.77, 13.00, 13.00
2016/6/21, 17:41:37, 5081, 11, 14, 14, 11, 14, 14, 727.96, 21.35, 62.26, 0.00, -7.81, 64.01, 372.35, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 727.96, 14.00, 14.00
2016/6/21, 17:42:37, 5142, 10, 13, 15, 10, 13, 15, 729.41, 21.36, 62.27, 0.00, -7.81, 64.01, 373.09, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 729.41, 13.00, 13.00
2016/6/21, 17:43:38, 5202, 10, 13, 14, 10, 13, 14, 716.59, 21.36, 62.36, 0.00, -7.81, 64.01, 366.54, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 716.59, 13.00, 13.00
2016/6/21, 17:44:38, 5263, 11, 14, 15, 11, 14, 15, 703.96, 21.35, 62.49, 0.00, -7.81, 64.01, 360.07, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 703.96, 14.00, 14.00
2016/6/21, 17:45:39, 5323, 10, 14, 14, 10, 14, 14, 726.66, 21.34, 62.68, 0.00, -7.81, 64.01, 371.69, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 726.66, 14.00, 14.00
2016/6/21, 17:46:39, 5384, 10, 13, 13, 10, 13, 13, 692.44, 21.33, 62.66, 0.00, -7.81, 64.01, 354.19, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 692.44, 13.00, 13.00
2016/6/21, 17:47:40, 5444, 10, 14, 14, 10, 14, 14, 715.94, 21.32, 62.62, 0.00, -7.81, 64.01, 366.20, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 715.94, 14.00, 14.00
2016/6/21, 17:48:40, 5505, 10, 13, 14, 10, 13, 14, 709.24, 21.31, 62.64, 0.00, -7.81, 64.01, 362.78, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 709.24, 13.00, 13.00
2016/6/21, 17:49:41, 5565, 10, 13, 14, 10, 13, 14, 706.71, 21.32, 62.59, 0.00, -7.81, 64.01, 361.48, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 706.71, 13.00, 13.00
2016/6/21, 17:50:41, 5626, 10, 13, 14, 10, 13, 14, 704.03, 21.30, 62.70, 0.00, -7.81, 64.01, 360.11, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 704.03, 13.00, 13.00
2016/6/21, 17:51:42, 5686, 11, 14, 14, 11, 14, 14, 711.99, 21.29, 62.75, 0.00, -7.81, 64.01, 364.19, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 711.99, 14.00, 14.00
2016/6/21, 17:52:43, 5747, 11, 13, 14, 11, 13, 14, 705.62, 21.30, 62.63, 0.00, -7.81, 64.01, 360.93, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 705.62, 13.00, 13.00
2016/6/21, 17:53:43, 5808, 9, 13, 14, 9, 13, 14, 714.09, 21.29, 62.67, 0.00, -7.81, 64.01, 365.26, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 714.09, 13.00, 13.00
2016/6/21, 17:54:44, 5868, 10, 13, 15, 10, 13, 15, 722.31, 21.27, 62.70, 0.00, -7.81, 64.01, 369.46, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 722.31, 13.00, 13.00
2016/6/21, 17:55:44, 5929, 9, 14, 14, 9, 14, 14, 694.76, 21.28, 62.65, 0.00, -7.81, 64.01, 355.37, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 694.76, 14.00, 14.00
2016/6/21, 17:56:44, 5989, 11, 15, 15, 11, 15, 15, 713.18, 21.29, 62.59, 0.00, -7.81, 64.01, 364.79, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 713.18, 15.00, 15.00
2016/6/21, 17:57:44, 6049, 11, 14, 15, 11, 14, 15, 711.15, 21.28, 62.60, 0.00, -7.81, 64.01, 363.75, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 711.15, 14.00, 14.00
2016/6/21, 17:58:45, 6109, 10, 13, 15, 10, 13, 15, 697.73, 21.28, 62.58, 0.00, -7.81, 64.01, 356.89, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 697.73, 13.00, 13.00
2016/6/21, 17:59:45, 6170, 9, 13, 13, 9, 13, 13, 701.42, 21.24, 62.67, 0.00, -7.81, 64.01, 358.78, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 701.42, 13.00, 13.00
2016/6/21, 18:0:46, 6230, 10, 13, 14, 10, 13, 14, 694.47, 21.24, 62.71, 0.00, -7.81, 64.01, 355.22, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 694.47, 13.00, 13.00
2016/6/21, 18:1:46, 6291, 11, 15, 15, 11, 15, 15, 694.44, 21.25, 62.62, 0.00, -7.81, 64.01, 355.20, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 694.44, 15.00, 15.00
2016/6/21, 18:2:47, 6351, 10, 14, 14, 10, 14, 14, 702.73, 21.23, 62.66, 0.00, -7.81, 64.01, 359.44, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 702.73, 14.00, 14.00
2016/6/21, 18:3:47, 6412, 12, 14, 16, 12, 14, 16, 702.36, 21.24, 62.56, 0.00, -7.81, 64.01, 359.26, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 702.36, 14.00, 14.00
2016/6/21, 18:4:48, 6472, 11, 14, 14, 11, 14, 14, 702.00, 21.24, 62.50, 0.00, -7.81, 64.01, 359.07, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 702.00, 14.00, 14.00
2016/6/21, 18:5:48, 6533, 11, 14, 16, 11, 14, 16, 690.78, 21.22, 62.57, 0.00, -7.81, 64.01, 353.33, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 690.78, 14.00, 14.00
2016/6/21, 18:6:49, 6593, 9, 13, 13, 9, 13, 13, 707.29, 21.23, 62.60, 0.00, -7.81, 64.01, 361.78, 1023.00, 1023.00, 1023.00, 1023.00, 0.00, -7.81, 64.01, 707.29, 13.00, 13.00
