Box01_48_03_04...New Logging Session...2016/6/21, 16:17:30, 
yyyy/mm/dd, hh:mm:ss, timeElapsed, TPM1, TPM2.5, TPM10, PM1, PM2.5, PM10, CO2, TempC, Humidity, NO, NO2, O3, CO2raw, workNO2, auxNO2, workO3, auxO3, labNO, labNO2, labO3, labCO2, labTPM25, labPM25
2016/6/21, 16:18:32, 63, 9, 12, 12, 9, 12, 12, 450.17, 22.01, 59.85, 0.00, -69.24, 35.59, 230.26, 89.40, 91.70, 121.92, 91.70, 0.00, -69.24, 35.59, 450.17, 12.00, 12.00
2016/6/21, 16:19:32, 124, 9, 11, 11, 9, 11, 11, 450.89, 22.09, 59.51, 0.00, -80.13, 73.74, 230.63, 90.07, 92.96, 125.04, 92.96, 0.00, -80.13, 73.74, 450.89, 11.00, 11.00
2016/6/21, 16:20:32, 184, 9, 11, 12, 9, 11, 12, 448.96, 22.08, 59.49, 0.00, -83.25, 74.68, 229.64, 89.83, 92.89, 124.91, 92.89, 0.00, -83.25, 74.68, 448.96, 11.00, 11.00
2016/6/21, 16:21:32, 244, 9, 13, 14, 9, 13, 14, 447.09, 22.07, 59.42, 0.00, -83.57, 76.05, 228.69, 89.87, 92.94, 124.89, 92.94, 0.00, -83.57, 76.05, 447.09, 13.00, 13.00
2016/6/21, 16:22:33, 304, 9, 11, 11, 9, 11, 11, 441.44, 22.03, 59.48, 0.00, -83.23, 72.67, 225.80, 89.93, 92.98, 124.89, 92.98, 0.00, -83.23, 72.67, 441.44, 11.00, 11.00
2016/6/21, 16:23:33, 365, 9, 12, 12, 9, 12, 12, 442.56, 21.99, 59.67, 0.00, -86.32, 74.21, 226.37, 89.78, 93.00, 124.80, 93.00, 0.00, -86.32, 74.21, 442.56, 12.00, 12.00
2016/6/21, 16:24:34, 426, 8, 11, 12, 8, 11, 12, 441.58, 21.97, 59.89, 0.00, -87.01, 72.64, 225.87, 89.89, 93.15, 124.91, 93.15, 0.00, -87.01, 72.64, 441.58, 11.00, 11.00
2016/6/21, 16:25:35, 486, 8, 12, 13, 8, 12, 13, 438.83, 21.96, 60.01, 0.00, -86.32, 72.91, 224.46, 89.85, 93.07, 124.83, 93.07, 0.00, -86.32, 72.91, 438.83, 12.00, 12.00
2016/6/21, 16:26:35, 547, 8, 10, 11, 8, 10, 11, 433.73, 21.97, 60.01, 0.00, -84.95, 70.84, 221.85, 89.91, 93.06, 124.96, 93.06, 0.00, -84.95, 70.84, 433.73, 10.00, 10.00
2016/6/21, 16:27:35, 607, 9, 11, 12, 9, 11, 12, 429.67, 22.00, 60.03, 0.00, -85.98, 70.31, 219.78, 89.94, 93.15, 124.94, 93.15, 0.00, -85.98, 70.31, 429.67, 11.00, 11.00
2016/6/21, 16:28:36, 667, 8, 11, 13, 8, 11, 13, 429.78, 21.98, 60.16, 0.00, -85.98, 70.05, 219.83, 89.94, 93.15, 124.89, 93.15, 0.00, -85.98, 70.05, 429.78, 11.00, 11.00
2016/6/21, 16:29:36, 728, 8, 10, 12, 8, 10, 12, 431.69, 21.98, 60.31, 0.00, -86.40, 70.15, 220.81, 89.94, 93.17, 124.85, 93.17, 0.00, -86.40, 70.15, 431.69, 10.00, 10.00
2016/6/21, 16:30:36, 788, 8, 10, 11, 8, 10, 11, 428.77, 22.01, 60.15, 0.00, -84.95, 71.36, 219.31, 90.20, 93.35, 125.00, 93.35, 0.00, -84.95, 71.36, 428.77, 10.00, 10.00
2016/6/21, 16:31:36, 848, 8, 10, 12, 8, 10, 12, 439.74, 21.99, 60.29, 0.00, -86.40, 73.06, 224.92, 90.08, 93.30, 124.96, 93.30, 0.00, -86.40, 73.06, 439.74, 10.00, 10.00
2016/6/21, 16:32:36, 908, 8, 12, 12, 8, 12, 12, 433.47, 21.99, 60.30, 0.00, -83.92, 72.67, 221.72, 90.07, 93.17, 125.00, 93.17, 0.00, -83.92, 72.67, 433.47, 12.00, 12.00
2016/6/21, 16:33:37, 968, 8, 10, 11, 8, 10, 11, 438.00, 22.02, 60.28, 0.00, -87.35, 74.72, 224.04, 90.02, 93.30, 124.96, 93.30, 0.00, -87.35, 74.72, 438.00, 10.00, 10.00
2016/6/21, 16:34:37, 1029, 9, 11, 12, 9, 11, 12, 433.37, 22.03, 60.37, 0.00, -92.85, 43.47, 221.67, 90.09, 93.67, 124.98, 93.67, 0.00, -92.85, 43.47, 433.37, 11.00, 11.00
2016/6/21, 16:35:38, 1090, 7, 9, 9, 7, 9, 9, 436.01, 22.04, 60.35, 0.00, -85.63, 53.41, 223.02, 90.22, 93.41, 124.83, 93.41, 0.00, -85.63, 53.41, 436.01, 9.00, 9.00
2016/6/21, 16:36:39, 1151, 8, 10, 10, 8, 10, 10, 430.76, 22.00, 60.39, 0.00, -85.63, 65.63, 220.33, 90.06, 93.24, 124.83, 93.24, 0.00, -85.63, 65.63, 430.76, 10.00, 10.00
2016/6/21, 16:37:40, 1212, 9, 12, 12, 9, 12, 12, 441.77, 22.00, 60.45, 0.00, -85.63, 66.41, 225.96, 90.02, 93.20, 124.94, 93.20, 0.00, -85.63, 66.41, 441.77, 12.00, 12.00
