Box01_39_03_04...New Logging Session...2016/6/21, 16:17:29, 
yyyy/mm/dd, hh:mm:ss, timeElapsed, TPM1, TPM2.5, TPM10, PM1, PM2.5, PM10, CO2, TempC, Humidity, NO, NO2, O3, CO2raw, workNO2, auxNO2, workO3, auxO3, labNO, labNO2, labO3, labCO2, labTPM25, labPM25
2016/6/21, 16:18:30, 63, 9, 11, 12, 9, 11, 12, 523.51, 22.34, 58.56, 0.00, -3.51, 30.19, 267.78, 91.15, 92.78, 129.59, 92.78, 0.00, -3.51, 30.19, 523.51, 11.00, 11.00
2016/6/21, 16:19:30, 123, 8, 11, 11, 8, 11, 11, 514.14, 22.44, 58.14, 0.00, 3.92, 35.31, 262.98, 92.09, 93.30, 130.76, 93.30, 0.00, 3.92, 35.31, 514.14, 11.00, 11.00
2016/6/21, 16:20:30, 183, 8, 10, 11, 8, 10, 11, 513.09, 22.42, 58.15, 0.00, -2.86, 36.77, 262.44, 91.89, 93.48, 130.50, 93.48, 0.00, -2.86, 36.77, 513.09, 10.00, 10.00
2016/6/21, 16:21:30, 244, 8, 11, 11, 8, 11, 11, 519.24, 22.40, 58.13, 0.00, 1.66, 33.52, 265.59, 91.94, 93.28, 130.44, 93.28, 0.00, 1.66, 33.52, 519.24, 11.00, 11.00
2016/6/21, 16:22:30, 304, 8, 10, 11, 8, 10, 11, 516.20, 22.35, 58.18, 0.00, 4.24, 35.81, 264.04, 91.98, 93.17, 130.67, 93.17, 0.00, 4.24, 35.81, 516.20, 10.00, 10.00
2016/6/21, 16:23:30, 364, 9, 11, 12, 9, 11, 12, 531.62, 22.30, 58.39, 0.00, 1.34, 38.57, 271.93, 91.98, 93.33, 130.74, 93.33, 0.00, 1.34, 38.57, 531.62, 11.00, 11.00
2016/6/21, 16:24:31, 424, 7, 9, 11, 7, 9, 11, 516.71, 22.29, 58.55, 0.00, 4.24, 39.35, 264.30, 92.02, 93.20, 130.83, 93.20, 0.00, 4.24, 39.35, 516.71, 9.00, 9.00
2016/6/21, 16:25:31, 484, 8, 10, 10, 8, 10, 10, 528.19, 22.30, 58.69, 0.00, 4.57, 39.10, 270.17, 91.98, 93.15, 130.94, 93.15, 0.00, 4.57, 39.10, 528.19, 10.00, 10.00
2016/6/21, 16:26:31, 544, 8, 10, 10, 8, 10, 10, 518.34, 22.32, 58.66, 0.00, 0.69, 40.84, 265.13, 91.98, 93.37, 130.91, 93.37, 0.00, 0.69, 40.84, 518.34, 10.00, 10.00
2016/6/21, 16:27:31, 604, 8, 10, 11, 8, 10, 11, 517.90, 22.40, 58.52, 0.00, 6.18, 35.58, 264.91, 92.15, 93.22, 130.94, 93.22, 0.00, 6.18, 35.58, 517.90, 10.00, 10.00
